pet/average,pet/stdDev,gdd/average
6.775031876,1.022061837,13.80666637
6.860934278,0.549825328,16.02000014
6.975081525,1.076441901,16.86000029
6.568683084,1.563772136,16.78666655
5.677236981,0.96248244,14.3866663
6.012018484,1.852198733,15.46666686
6.31660206,0.743562294,14.57833322
6.725154324,0.897297449,15.57500045
7.441309975,1.377896266,16.87833341
7.197508373,1.459620159,16.67333349
7.854107636,2.069346598,17.60500034
7.797365455,1.060966511,17.9350001
5.635822287,0.825662404,15.66000017
5.330014445,1.193307302,15.66000017
6.282396835,0.375367603,17.12500032
6.173887747,0.823196967,16.89333312
6.730033015,2.236232245,17.69666608
6.359859622,2.056922173,18.07833322
7.898240043,1.176458641,19.78000005
7.379267017,1.123525702,18.70666663
6.51746956,2.821989586,16.79000028
6.348082742,0.848044378,15.17166646
5.509051693,0.946507559,13.83166663
6.434294036,0.871061196,14.12166675
6.861016522,1.856530744,15.93833351
5.537833919,1.4576005,15.40833378
5.749319112,1.199946668,14.44000022
5.549487254,0.684780266,14.6183335
4.610670598,1.170439273,13.42999999
4.736690052,1.68127212,12.27999957
5.328761186,2.08695519,13.14166641
5.128171041,0.896488792,13.36499977
5.091505894,2.001311728,14.03999996
5.70287969,2.286840726,14.24166695
5.558420466,0.83897118,13.26833328
5.620756977,1.378608045,14.90166648
4.596375126,1.764904437,13.70500024
4.866148384,0.802484818,13.27499994
4.711624785,0.517124872,13.14833323
4.710775673,1.036544471,14.05666637
4.610285813,1.106224397,13.60666656
5.092887887,0.398236951,13.77833335
5.303347903,0.431462826,13.74666691
4.650548401,0.675140994,13.93166669
4.456275978,1.724356687,12.93000031
4.978772743,1.330743236,14.14333328
4.46806954,0.283923966,13.3166666
5.447236407,0.589098896,13.55666669
4.863023119,0.817971486,13.62166691
4.719058969,2.1556631,14.10833327
5.502751174,2.078366442,15.61333338
4.471855168,1.49937967,12.67666642
3.670062793,1.644752905,10.44333347
3.593650592,1.900205191,11.53500017
4.448526888,2.097614646,12.8816665
4.747347682,1.99381627,13.35333284
5.038409906,1.668866277,14.76500003
5.214834705,2.383089087,13.38166666
4.442708065,0.596761641,11.07000001
4.597066992,0.265454227,11.01333284
3.722145872,1.002005041,11.62833325
